game,community_id,users,weighted_degree_sum
BanG Dream,303,2,2.0
BanG Dream,304,2,2.0
Project Sekai,0,171,377.0
Project Sekai,1,160,535.0
Project Sekai,2,146,437.0
Project Sekai,3,124,309.0
Project Sekai,4,113,315.0
Project Sekai,5,105,286.0
Project Sekai,6,93,223.0
Project Sekai,7,91,239.0
Project Sekai,8,88,204.0
Project Sekai,9,82,219.0
Project Sekai,10,73,174.0
Project Sekai,11,72,159.0
Project Sekai,12,70,174.0
Project Sekai,13,67,162.0
Project Sekai,14,64,143.0
Project Sekai,15,63,150.0
Project Sekai,16,59,146.0
Project Sekai,17,59,142.0
Project Sekai,18,58,143.0
Project Sekai,19,52,107.0
Project Sekai,20,50,123.0
Project Sekai,21,44,104.0
Project Sekai,22,44,101.0
Project Sekai,23,43,98.0
Project Sekai,24,43,96.0
Project Sekai,25,39,100.0
Project Sekai,26,38,112.0
Project Sekai,27,38,80.0
Project Sekai,28,27,72.0
Project Sekai,29,26,65.0
Project Sekai,30,25,58.0
Project Sekai,31,23,53.0
Project Sekai,32,22,54.0
Project Sekai,33,22,50.0
Project Sekai,34,22,61.0
Project Sekai,35,21,49.0
Project Sekai,36,21,41.0
Project Sekai,37,20,41.0
Project Sekai,38,19,40.0
Project Sekai,39,18,48.0
Project Sekai,40,17,52.0
Project Sekai,41,16,32.0
Project Sekai,42,13,26.0
Project Sekai,43,13,32.0
Project Sekai,44,13,28.0
Project Sekai,45,12,24.0
Project Sekai,46,10,19.0
Project Sekai,47,10,22.0
Project Sekai,48,9,16.0
Project Sekai,49,8,18.0
Project Sekai,50,8,14.0
Project Sekai,51,8,14.0
Project Sekai,52,8,14.0
Project Sekai,53,7,14.0
Project Sekai,54,7,20.0
Project Sekai,55,7,16.0
Project Sekai,56,7,12.0
Project Sekai,57,7,12.0
Project Sekai,58,7,14.0
Project Sekai,59,7,12.0
Project Sekai,60,6,12.0
Project Sekai,61,6,12.0
Project Sekai,62,6,14.0
Project Sekai,63,6,10.0
Project Sekai,64,6,10.0
Project Sekai,65,6,10.0
Project Sekai,66,6,10.0
Project Sekai,67,6,10.0
Project Sekai,68,6,10.0
Project Sekai,69,6,12.0
Project Sekai,70,6,10.0
Project Sekai,71,6,10.0
Project Sekai,72,6,10.0
Project Sekai,73,6,10.0
Project Sekai,74,6,10.0
Project Sekai,75,5,14.0
Project Sekai,76,5,10.0
Project Sekai,77,5,10.0
Project Sekai,78,5,10.0
Project Sekai,79,5,17.0
Project Sekai,80,5,8.0
Project Sekai,81,5,8.0
Project Sekai,82,5,8.0
Project Sekai,83,5,8.0
Project Sekai,84,5,8.0
Project Sekai,85,5,10.0
Project Sekai,86,5,10.0
Project Sekai,87,5,8.0
Project Sekai,88,5,8.0
Project Sekai,89,5,8.0
Project Sekai,90,5,8.0
Project Sekai,91,4,8.0
Project Sekai,92,4,8.0
Project Sekai,93,4,8.0
Project Sekai,94,4,8.0
Project Sekai,95,4,6.0
Project Sekai,96,4,6.0
Project Sekai,97,4,6.0
Project Sekai,98,4,6.0
Project Sekai,99,4,6.0
Project Sekai,100,4,6.0
Project Sekai,101,4,6.0
Project Sekai,102,4,6.0
Project Sekai,103,4,8.0
Project Sekai,104,4,6.0
Project Sekai,105,4,6.0
Project Sekai,106,4,10.0
Project Sekai,107,4,6.0
Project Sekai,108,4,8.0
Project Sekai,109,4,6.0
Project Sekai,110,4,6.0
Project Sekai,111,3,10.0
Project Sekai,112,3,8.0
Project Sekai,113,3,6.0
Project Sekai,114,3,6.0
Project Sekai,115,3,6.0
Project Sekai,116,3,6.0
