gameLabel,source,target,weight
BanG Dream,UC98Wj8frvGsxoGqmv1JoPyQ,UCvFw3JDB6_r-yaSmvSEA78Q,2
BanG Dream,UC9PxeLwrgjAC_4rnfJFMRHQ,UCT-KnubgSXoaZRpSoKGoGug,2
BanG Dream,UC9sfBi5maVc7uqPWJ239dNA,UCRvFbhB4iK3urmUlh40AyyA,2
BanG Dream,UCAQoa0PvPsI0jzCbxE8gZBQ,UCl2rKzFr0K_1AGrMoy15zcQ,2
BanG Dream,UCAXgPkw44WIGyMjHkDPGmJA,UC4AReJVFv3dahhMGLbGHnaA,2
BanG Dream,UCAi5aQqTR1h3N39XXYKuJ6Q,UCo5XQUCWZ0fxSgQU28UiruQ,2
BanG Dream,UCAwRWZ1g53WxrUmxYZS6a_g,UCIqQ4myhTMf4TIEdRSeaBbQ,2
BanG Dream,UCB9oquyqQIq7qtk8V6Jaabg,UCNdwl-yEBoMd3CjvDh0yO3A,2
BanG Dream,UCBGCdffxSkx2LXov8JsP4Qg,UCyOJpG-vPaZqhrD9ygdcAVw,2
BanG Dream,UCBputAVRZDirKgJ7DrMJNjA,UCFNM_-OWKfHuXE-SdVEk8cA,2
BanG Dream,UCC-bnJvj2zVOQX8ThPap3SQ,UCIPEm8UcJwOFeX3QuKtYdmA,2
BanG Dream,UCC4vM3IY5A-l1NIDGFfvDgw,UCiw5H6HQhtwN_s_7v2eMy6A,2
BanG Dream,UCCaxBGH-g2OGFavn4xyu5vQ,UClNUBP_8fF79Qn1zns--v2w,2
BanG Dream,UCCoPkmVtBPxMfIHWISSxfIw,UCBtqfBg1sAxVS02zWdjHkrA,2
BanG Dream,UCCqpcm9FKG2cti5wTygINpw,UCT-kB89_D9MZbcST5tQYA5A,2
BanG Dream,UCD2wZyhwEw-75ezJT-3JaHQ,UCDDvIdlEMDMuoZbNZIEhN6w,2
BanG Dream,UCD8RpWaFCtW1PiCFxhAYPTQ,UCBakWrMnULQlVm_Q2HsfRjw,2
BanG Dream,UCDZ1KtHc0IJ36IUTFzIgEmw,UCksb_mKWgrDU88EyR-dLzXA,2
BanG Dream,UCERmutNAwoog_t4jGzY3peQ,UCd6HYOCx2RVl9tSKZ-LoN2Q,2
BanG Dream,UCFs1NfS_q3GUJJyUsTskgCw,UCT-KnubgSXoaZRpSoKGoGug,2
BanG Dream,UCG87MJ2gM1Be0uWU5dYrARg,UCthLuhvoULhU4kkILYWqu0Q,2
BanG Dream,UCGDsY1QP2x3-IeizbujHkbQ,UCbyWRicYhR55L-2MtOUPL6g,2
BanG Dream,UCI4qYyVgqO5LaBpNNylfvcA,UCAQGmg8TuWNnDJk9ha-SM8w,2
BanG Dream,UCI4qYyVgqO5LaBpNNylfvcA,UCksb_mKWgrDU88EyR-dLzXA,2
BanG Dream,UCI4qYyVgqO5LaBpNNylfvcA,UCrfFp_QpPt3VO2o0HtUUI9w,2
BanG Dream,UCI4qYyVgqO5LaBpNNylfvcA,UCxf9EHtKPvEIb7QsDcUVk0g,2
BanG Dream,UCICXPqhSsZPB7eCWUnio8_g,UCYR9cWnJMQg0hCoqbGJnygw,2
BanG Dream,UCIORiMFy4pfpPT514tDlJ8A,UCGCY9kOeptW6M4WMzvxTlAg,2
BanG Dream,UCIj2Acvrf9HOMTJv02Q30Bw,UC1dR_3_mdLoAdLyBk6bFM9A,2
BanG Dream,UCImLpItFFoNBX4eLE-lL3tQ,UCSTDzD0sQ8dbTf44-R5dMVA,2
BanG Dream,UCJE4H6pz3OoVjwE0qrvkkig,UCAyRJeVYBVgQof3ZDR1tICw,2
BanG Dream,UCJaFyLWtCeRlISilUjGFV4g,UCrfFp_QpPt3VO2o0HtUUI9w,2
BanG Dream,UCL7--8lrHk1pB47rpmnMuSQ,UCTytTYOhYkLIq23K6to9ePw,2
BanG Dream,UCLVxVikMWobi2x9MGqhTbTw,UCIJKvhqUwbi28LiESteHrRQ,2
BanG Dream,UCLXzQozrPkxgORb6MDQ-vcw,UCWASvSfighGAcfeq_3pwZBQ,2
BanG Dream,UCMA5jJBbjvPyTBZyW1jyCBQ,UCR_o_8Ikzz4TIhXV8e578uw,2
BanG Dream,UCMdTu6FUNqKOSsGlOHNrB1Q,UCofTINdRA7UVJ_QRGMPuwhg,2
BanG Dream,UCNICEoXG-EiyyXWIhiwLgkA,UCfSw7St1fGjScKi8KjaKI3A,2
BanG Dream,UCNunA-6RBMCtrcXrZKhuBtw,UC7jjXrsU_mNcNXvCzJC1q_g,2
BanG Dream,UCNunA-6RBMCtrcXrZKhuBtw,UCG87MJ2gM1Be0uWU5dYrARg,2
BanG Dream,UCOc774nX37rz_UrG0tlbSVw,UCYOlIDsw45ZPccY6Bf7djUA,2
BanG Dream,UCPNYFUhYCNbm59DsoSMx3sw,UC5Yf7SezKghHAhh0XenVTYw,2
BanG Dream,UCPNYFUhYCNbm59DsoSMx3sw,UCsGlWoVi0MdL1d9tuHlqbwQ,2
BanG Dream,UCPp3uym50B2b54OHV_3jtXg,UCo94mQrgZn_4fbgHHENceOg,2
BanG Dream,UCQjInjY8wSQy61s0PZNWf1g,UCNdwl-yEBoMd3CjvDh0yO3A,2
BanG Dream,UCR8-U5BbdtuFi8yIA7PlHkA,UC1Xc73juimznagUMQCuOBfQ,2
BanG Dream,UCR_o_8Ikzz4TIhXV8e578uw,UCIOmFnravpgG5fP0sH4wuwg,2
BanG Dream,UCS3Y6INv9OWkve4GElBcqtA,UCWk7ntM_djcnCz-tc0HgSRg,2
BanG Dream,UCS9s_8fhcwiHwLSz3aPEAkw,UCncuil25GgWl1n1_PN_ipaA,2
BanG Dream,UCSEdNOzoVovXd-72TOqzfHg,UCo94mQrgZn_4fbgHHENceOg,2
BanG Dream,UCSaEp62pfmAGpvZK-yHsNAA,UCAxOtzv2QV-DWQDgy5cJHRQ,2
BanG Dream,UCT-kB89_D9MZbcST5tQYA5A,UC7eBjzw2-9-gXsR3LFBo_EQ,2
BanG Dream,UCT-kB89_D9MZbcST5tQYA5A,UC8Y8u1O4gxW9JCslKWy3ZCw,2
BanG Dream,UCUCfXcd8kEXeDbz85Pjypxw,UC5vsgyyPm7DeZyszxAItPwA,2
BanG Dream,UCUNTVJrWJlZsTUaa99kKWFA,UCGPKSWms3J2MX_aLjImVdxA,2
BanG Dream,UCUYgDpG7GDXH2sBlcgO15BA,UCLNVJHbN5fpQ_zoEnoAQCOQ,2
BanG Dream,UCUeuK1UOkzxsuZ5Z4egsxIQ,UCIqQ4myhTMf4TIEdRSeaBbQ,2
BanG Dream,UCV22Ch3JqnDHtku7q-N2aGQ,UCt8o7AAq0J6u29xHTA0aFHQ,2
BanG Dream,UCV3pyMPgajWcJp-VSADI7hw,UCB22m1C8wnHBiwfXLnWQ6Qg,2
BanG Dream,UCVBGyI4uj-VQSx7bM9zJF3w,UCMnRoPa7U5H49YDtLo954hw,2
BanG Dream,UCV_wYOmkdiCqdhwCrSFm85A,UCwNi6ZZa5GbFzzd1VcE57FA,2
BanG Dream,UCW3CC-uqJmi2uxJ0chX5IAQ,UCDUyoVQq10nbVohfygNRw3g,2
BanG Dream,UCWp6GVql_2jlQoeF_vkOb5Q,UCKXQOlTFAh1HpXIAF0m70kg,2
BanG Dream,UCXDdDRjO3MCNTRsJXROKx4g,UCL8DmSJycogLYJXRq8uWkOw,2
BanG Dream,UCXU-D7EB23viQJv1_BSApBA,UCRA8pk7WrojZo61eTo61yIw,2
BanG Dream,UCXehX7qpdaQJ8PdUxL5XyLA,UCB5evbVrW-KPyBad9borV9w,2
BanG Dream,UCY8XzzaYGLlgkXNZJqooB-w,UC-ZjBPwZdY4bNDwdTXi3ZHw,2
BanG Dream,UCY8XzzaYGLlgkXNZJqooB-w,UCwDcUvlPPMxeyguf7_lSyhQ,2
BanG Dream,UCY8XzzaYGLlgkXNZJqooB-w,UCxQ2DNUHjX9y0G6R2C8S0Iw,2
BanG Dream,UCZ4sqx8uVNU_FohgZSY0FEw,UCwlMtqjl_pKNwrcf-3ac0Ow,2
BanG Dream,UCZ5p2dcpsr7zKdJ471HP-eA,UC1U-QifF6Es2NoJMy8PKvUQ,2
BanG Dream,UCZSwY5HziVeUUw8aWhp_ryw,UCHubGd9srWfOj3RnZdqzmYg,2
BanG Dream,UCZSwY5HziVeUUw8aWhp_ryw,UCulzAY3Rz4K3_sbxV5Dt27A,2
BanG Dream,UC_8mN7CShAE30tDOy-jsmgA,UCKXQOlTFAh1HpXIAF0m70kg,2
BanG Dream,UC_cSJZ9_n_W3ZNo46Bcbbvw,UCJRIuWGWQifKtqQYw5rj1Mw,2
BanG Dream,UC_fs1o2e7KH7pw0o6-Vd4EQ,UC5vsgyyPm7DeZyszxAItPwA,2
BanG Dream,UC_iL68_52TVYr2unyLCz-0A,UCsCaF6H613kkLK4h6pFpJwA,2
BanG Dream,UCa4SvAt6qonomn-x4em4ZaA,UCNdwl-yEBoMd3CjvDh0yO3A,2
BanG Dream,UCa4Z9WdTmIw3gVn30xnEi1Q,UCUZiQqhu4MIu6qVAIum6ZRQ,2
BanG Dream,UCcBvaUYqMn75iJB6nKKUYHA,UCNdwl-yEBoMd3CjvDh0yO3A,2
BanG Dream,UCca-y-C3tH6qydyjsxjkP3A,UCOXH4QRKPp7gfPHlR5tdmOQ,2
BanG Dream,UCdRWRNkIgAKKR9eu3qKu9bA,UCk40eKOLYpghLZFOUf-x0NQ,2
